6,4,pa2-unknown-i-EM-nav.txt
  449.35,   548.09,   508.91
  483.59,   575.07,   487.99
  517.81,   601.67,   466.67
  445.96,   523.77,   475.20
  479.84,   551.05,   454.52
  513.79,   577.83,   433.17
  424.19,   417.41,   465.63
  376.41,   421.47,   473.32
  328.75,   425.78,   481.53
  416.89,   414.76,   426.37
  369.39,   418.88,   433.79
  321.93,   422.90,   441.71
  453.29,   468.61,   488.94
  453.98,   509.00,   461.48
  454.62,   548.62,   434.00
  492.45,   469.62,   491.80
  492.67,   510.06,   464.38
  493.20,   550.19,   436.78
  478.41,   519.89,   427.59
  520.26,   509.73,   405.70
  562.64,   499.84,   383.87
  493.47,   507.81,   462.40
  535.56,   497.44,   440.46
  577.81,   487.19,   418.32
