8, 6, 12, pa2-unknown-i-optpivot.txt
   10.99,    -7.10, -1499.94
    9.89,    -6.39, -1349.95
   12.07,   142.89, -1500.65
   10.97,   143.60, -1350.65
  160.98,    -8.18, -1498.84
  159.88,    -7.47, -1348.84
  162.06,   141.82, -1499.54
  160.96,   142.53, -1349.55
  356.72,   403.87, -1304.50
  314.52,   427.02, -1318.05
  272.33,   450.17, -1331.60
  383.18,   443.93, -1318.47
  340.99,   467.08, -1332.02
  298.79,   490.23, -1345.57
    0.38,    10.90, -1499.96
    0.34,     9.81, -1349.96
   -0.74,   160.89, -1498.87
   -0.78,   159.80, -1348.88
  150.38,    12.02, -1499.91
  150.34,    10.93, -1349.92
  149.25,   162.01, -1498.83
  149.21,   160.92, -1348.83
  343.21,   437.33, -1298.56
  302.58,   453.98, -1322.48
  261.96,   470.63, -1346.40
  369.44,   440.33, -1341.03
  328.81,   456.97, -1364.95
  288.18,   473.62, -1388.87
  -12.92,    -3.67, -1499.94
  -11.63,    -3.31, -1349.95
  -13.66,   146.32, -1500.30
  -12.37,   146.69, -1350.31
  137.07,    -2.94, -1501.23
  138.36,    -2.57, -1351.24
  136.33,   147.06, -1501.59
  137.62,   147.43, -1351.60
  366.65,   440.66, -1262.14
  359.28,   484.45, -1239.16
  351.91,   528.23, -1216.17
  391.55,   464.02, -1298.67
  384.18,   507.81, -1275.68
  376.81,   551.60, -1252.70
   -1.66,     2.67, -1500.00
   -1.49,     2.40, -1350.00
   -2.32,   152.67, -1499.73
   -2.15,   152.40, -1349.73
  148.34,     3.32, -1500.16
  148.50,     3.06, -1350.16
  147.68,   153.32, -1499.89
  147.85,   153.05, -1349.89
  345.76,   408.62, -1321.66
  313.77,   409.39, -1360.07
  281.77,   410.17, -1398.49
  383.18,   420.60, -1352.59
  351.18,   421.37, -1391.00
  319.18,   422.15, -1429.41
  -14.72,     3.41, -1499.92
  -13.25,     3.07, -1349.93
  -15.04,   153.41, -1499.58
  -13.57,   153.07, -1349.59
  135.27,     3.73, -1501.40
  136.74,     3.39, -1351.40
  134.95,   153.73, -1501.05
  136.42,   153.39, -1351.06
  369.38,   445.54, -1344.66
  364.99,   456.51, -1393.24
  360.59,   467.48, -1441.82
  393.94,   403.58, -1356.35
  389.54,   414.55, -1404.94
  385.14,   425.52, -1453.52
    5.83,     3.85, -1499.98
    5.24,     3.46, -1349.99
    6.38,   153.84, -1499.60
    5.79,   153.46, -1349.60
  155.82,     3.30, -1499.40
  155.24,     2.91, -1349.40
  156.37,   153.29, -1499.02
  155.79,   152.91, -1349.02
  353.74,   424.49, -1310.63
  309.86,   447.44, -1303.68
  265.98,   470.38, -1296.74
  371.00,   444.68, -1268.26
  327.12,   467.63, -1261.32
  283.24,   490.57, -1254.38
   -7.59,     7.42, -1499.96
   -6.83,     6.68, -1349.97
   -7.10,   157.42, -1499.22
   -6.34,   156.68, -1349.23
  142.41,     6.94, -1500.72
  143.16,     6.20, -1350.73
  142.90,   156.94, -1499.98
  143.65,   156.19, -1349.99
  369.50,   446.08, -1259.86
  368.40,   471.05, -1216.56
  367.30,   496.02, -1173.26
  417.21,   433.67, -1251.49
  416.11,   458.64, -1208.19
  415.01,   483.62, -1164.89
    5.65,     8.85, -1499.96
    5.09,     7.97, -1349.97
    4.65,   158.84, -1499.08
    4.08,   157.96, -1349.09
  155.65,     9.86, -1499.39
  155.08,     8.97, -1349.40
  154.64,   159.85, -1498.51
  154.08,   158.96, -1348.51
  364.93,   434.49, -1255.60
  335.54,   467.04, -1231.59
  306.15,   499.60, -1207.58
  379.97,   470.83, -1286.47
  350.58,   503.39, -1262.46
  321.19,   535.94, -1238.45
   -6.80,   -12.70, -1499.93
   -6.12,   -11.43, -1349.94
   -5.47,   137.29, -1501.21
   -4.79,   138.56, -1351.21
  143.19,   -14.03, -1500.60
  143.87,   -12.76, -1350.61
  144.52,   135.96, -1501.88
  145.20,   137.23, -1351.88
  439.05,   414.98, -1272.57
  487.26,   421.16, -1260.84
  535.47,   427.34, -1249.10
  452.23,   387.76, -1312.39
  500.44,   393.94, -1300.66
  548.65,   400.12, -1288.92
   -9.06,    11.33, -1499.93
   -8.16,    10.20, -1349.94
   -9.40,   161.33, -1498.79
   -8.50,   160.19, -1348.80
  140.94,    11.68, -1500.83
  141.84,    10.55, -1350.84
  140.59,   161.68, -1499.70
  141.50,   160.54, -1349.71
  430.99,   417.26, -1259.41
  476.53,   404.63, -1243.10
  522.07,   392.00, -1226.78
  441.92,   398.50, -1304.45
  487.47,   385.87, -1288.13
  533.01,   373.23, -1271.82
   10.82,   -12.62, -1499.91
    9.74,   -11.36, -1349.92
   11.90,   137.37, -1501.16
   10.82,   138.63, -1351.17
  160.81,   -13.69, -1498.82
  159.73,   -12.42, -1348.83
  161.89,   136.30, -1500.07
  160.81,   137.57, -1350.08
  390.04,   435.52, -1332.29
  372.09,   452.74, -1375.67
  354.13,   469.97, -1419.04
  398.06,   390.88, -1353.34
  380.11,   408.11, -1396.71
  362.16,   425.33, -1440.09
    9.46,    -4.14, -1499.96
    8.51,    -3.72, -1349.97
    9.82,   145.86, -1500.38
    8.87,   146.28, -1350.38
  159.46,    -4.49, -1499.02
  158.51,    -4.08, -1349.02
  159.81,   145.51, -1499.43
  158.87,   145.92, -1349.43
  422.33,   451.89, -1325.28
  437.92,   499.32, -1328.09
  453.51,   546.74, -1330.90
  426.58,   453.45, -1275.49
  442.17,   500.87, -1278.29
  457.76,   548.30, -1281.10
